Time,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
1575085942000000000,79996548,80012208,80016760,79987804,79986260,79944988,79565604,79830708,79966384,80077344,79908308,80048444,79677024,79983236,79918948,79986684
1575085943000000000,79996612,80013128,80016760,79987804,79986948,79945176,79565628,79825364,79965988,80077536,79909060,80048672,79677024,79983236,79918948,79987552
1575085944000000000,79996612,80013596,80016760,79987852,79987368,79945176,79565672,79825364,79965988,80077560,79909060,80044668,79674240,79983236,79918900,79984528
1575085945000000000,79996612,80013720,80016760,79987852,79988112,79945176,79565680,79825364,79965988,80077560,79909060,80048836,79674984,79983236,79918900,79985168
1575085946000000000,79996612,80014092,80016760,79987884,79988112,79945176,79565680,79825364,79966112,80077684,79909580,80048836,79674856,79983236,79918988,79985168
1575085947000000000,79996612,80014092,80016760,79988004,79988236,79945176,79566084,79828940,79967804,80077684,79909620,80048944,79674888,79983236,79918988,79985052
1575085948000000000,79996612,80014092,80016760,79988004,79987840,79945176,79566068,79829856,79968004,80076444,79908796,80049068,79674888,79980600,79918956,79985060
1575085949000000000,79996736,80014092,80016760,79988020,79987452,79945160,79566068,79830768,79968724,80076492,79908796,80049432,79674888,79981108,79918956,79985308
1575085950000000000,79996736,80014604,80016760,79988144,79987824,79945152,79567452,79830768,79969136,80076524,79907848,80049400,79675136,79980792,79919416,79985292
1575085951000000000,79997116,80014604,80016760,79988144,79988444,79945152,79567420,79828144,79969104,80076896,79908168,80049508,79675812,79981036,79919556,79986056
1575085952000000000,79997340,80014604,80016760,79988144,79988476,79945128,79567452,79828268,79969248,80077020,79908292,80049508,79675812,79981160,79919588,79986136
1575085953000000000,79997892,80014604,80016760,79988216,79988476,79945160,79567452,79828268,79969372,80077020,79908292,80050180,79675812,79981160,79919588,79986168
1575085954000000000,79997860,80014620,80016760,79988216,79988476,79945160,79567452,79828268,79969372,80077052,79908908,80050228,79675936,79981252,79919540,79986088
1575085955000000000,79997924,80014620,80018432,79980936,79988476,79945160,79567548,79828780,79969372,80077136,79910284,80050228,79678540,79981252,79919720,79986120
1575085956000000000,79997924,80014620,80018432,79985180,79988476,79945160,79567548,79828780,79969496,80077136,79910408,80050228,79679228,79981252,79919720,79986120
1575085957000000000,79998076,80014620,80018432,79985180,79988484,79945160,79567548,79828780,79969496,80077136,79910408,80050616,79679172,79981284,79919720,79986504
1575085958000000000,79998076,80014620,80018556,79985188,79988608,79945160,79567532,79828780,79969496,80077136,79910408,80050616,79679148,79981284,79919720,79986504
1575085959000000000,79998068,80014620,80018868,79985336,79988608,79945160,79567536,79828780,79969496,80077136,79910408,80050616,79679124,79981284,79919792,79986800
1575085960000000000,79998068,80014736,80018868,79985400,79988608,79945160,79567560,79828780,79969528,80077136,79909604,80050616,79679156,79981284,79919792,79986872
1575085961000000000,79998028,80014736,80018932,79985912,79988608,79945160,79567560,79823008,79969560,80077136,79909604,80050752,79679156,79981284,79919792,79986856
1575085962000000000,79998028,80014736,80018932,79986024,79988608,79945160,79567528,79823008,79969560,80077136,79909604,80050892,79679156,79981332,79919792,79986856
1575085963000000000,79998092,80014736,80018932,79986024,79988608,79945160,79567740,79823008,79969560,80077136,79909604,80050900,79679204,79981364,79919864,79986928
1575085964000000000,79997348,80014396,80017940,79985080,79986848,79943112,79565568,79820960,79969560,80074468,79907016,80049660,79676536,79981364,79916652,79986880
1575085965000000000,79997684,80015084,80017940,79985700,79986848,79943112,79565560,79820960,79969560,80074468,79907016,80050144,79676536,79981364,79916744,79987352
1575085966000000000,79997684,80016464,80017940,79985936,79986848,79943112,79566196,79820960,79969560,80074160,79907024,80050208,79676536,79981364,79917348,79987376
1575085967000000000,79997932,80016464,80018172,79985904,79986848,79943112,79566228,79821464,79969560,80074804,79907024,80050144,79676536,79981364,79917348,79987440
1575085968000000000,79997932,80016464,80018660,79985936,79986848,79943112,79566180,79821464,79969592,80074804,79907024,80050144,79676536,79981364,79917316,79987392
1575085969000000000,79997996,80016948,80018644,79985936,79986824,79943112,79566092,79821464,79970108,80074796,79907024,80050144,79676064,79981364,79917456,79987392
1575085970000000000,79997964,80016956,80018676,79985936,79986808,79943104,79566140,79821464,79970108,80074888,79903980,80050152,79676176,79981504,79917488,79987392
1575085971000000000,79997992,80016956,80018676,79986076,79988212,79943088,79566108,79815692,79970108,80074888,79903980,80050152,79676224,79981752,79917628,79987408
1575085972000000000,79997992,80016956,80018676,79986076,79988708,79943088,79566140,79815692,79970108,80075036,79903980,80050152,79676224,79981820,79917700,79987488
1575085973000000000,79998024,80016956,80018676,79986076,79988676,79943120,79566608,79815692,79970108,80075020,79903980,80050152,79676224,79981820,79917700,79987488
1575085974000000000,79998024,80016956,80018676,79986076,79988676,79943984,79566608,79815692,79970108,80075020,79903980,80050540,79676224,79981944,79917652,79987432
1575085975000000000,79998024,80016956,80018676,79986704,79988676,79944640,79566656,79815692,79970108,80075020,79903980,80050540,79676304,79981944,79917652,79987524
1575085976000000000,79998024,80016956,80018708,79986752,79988676,79944640,79566656,79815692,79970108,80075020,79903980,80050540,79676304,79981944,79917652,79987524
1575085977000000000,79998064,80016956,80018708,79986752,79988676,79944640,79566672,79815692,79970108,80075020,79903980,80050492,79676304,79981944,79917668,79987672
1575085978000000000,79998272,80016956,80018708,79986752,79988676,79944812,79566624,79815692,79970108,80075020,79903980,80050492,79676288,79981992,79917668,79987672
1575085979000000000,79998272,80016956,80018772,79986860,79988708,79944812,79566616,79815692,79970108,80075052,79903980,80050612,79676288,79981992,79917716,79987720
1575085980000000000,79998280,80016956,80018756,79986860,79988708,79944812,79566592,79815692,79970108,80075052,79903804,80050612,79676320,79982024,79917468,79987596
1575085981000000000,79998272,80016956,80018740,79986984,79988708,79944844,79566780,79809920,79970264,80075044,79903804,80050700,79676320,79982024,79917500,79987952
1575085982000000000,79998272,80016956,80018740,79986984,79988708,79944844,79567164,79809920,79970604,80075060,79903804,80050716,79676196,79982024,79917716,79987984
1575085983000000000,79998272,80016956,80018740,79987036,79988708,79944876,79567600,79809920,79970644,80075060,79903804,80051000,79676648,79982024,79917716,79988108
1575085984000000000,79998616,80016956,80018788,79987084,79988832,79944876,79567600,79809920,79970660,80075124,79903804,80051000,79676772,79982024,79917700,79988028
1575085985000000000,79998796,80016956,80018788,79987084,79988832,79944876,79567600,79809920,79970660,80075124,79903804,80051032,79676772,79982024,79917864,79988192
1575085986000000000,79998796,80016956,80018788,79987084,79988832,79944876,79567732,79809920,79970660,80075124,79903804,80051032,79676772,79982024,79917864,79988192
1575085987000000000,79999228,80016956,80018836,79987084,79988832,79944876,79567856,79810424,79970660,80075124,79903804,80050868,79676772,79982024,79917864,79988224
1575085988000000000,79999228,80016956,80018836,79987084,79988832,79944876,79567888,79810424,79970692,80075124,79903804,80050868,79676748,79982024,79917864,79988224
1575085989000000000,79999440,80016956,80018268,79987084,79988832,79944876,79567824,79810424,79970692,80075124,79903184,80050868,79676748,79982024,79917880,79988288
1575085990000000000,79999392,80016956,80014800,79987084,79988832,79944876,79568012,79810424,79970692,80075124,79898892,80050868,79676740,79982024,79917880,79988288
