2771,2083,864256,0,0
2789,2092,868352,0,0
2797,2093,868352,0,0
2804,2094,868352,0,0
2813,2094,868352,0,0
2820,2095,868352,0,0
2827,2096,868352,0,0
2835,2185,868352,0,0
2842,2186,868352,0,0
2849,2186,868352,0,0
2856,2187,868352,0,0
2863,2188,868352,0,0
2869,2188,868352,0,0
2876,2189,868352,0,0
2883,2189,868352,0,0
2890,2190,868352,0,0
2897,2191,868352,0,0
2903,2191,868352,0,0
2910,2192,868352,0,0
2917,2193,868352,0,0
2924,2193,868352,0,0
2931,2296,868352,0,0
2938,2297,868352,0,0
2946,2297,868352,0,0
2954,2298,868352,0,0
2962,2299,868352,0,0
